model	Kest	Sensitivity	Precision	rmse_sig	rmse_theta	rmse_Betas	rmse_lambda	rmse_counts	time	iter	effectiveBetas	effectiveSigs	effectiveTheta	effectiveMu	effectiveSigma2	effectiveLogPost	effectiveLogLik	effectiveLogPrior	Simulation	Scenario	n
mcmc_TrueCovs500	8	1	1	0.0032933200953622144	36.25423725547755	0.01667241761292029	0.007209613639170104	0.04575453737286482	94.94388275941212	NA	44.63982905891243	266.52069025834743	336.57284936054225	987.1371819268004	1500.0000000000007	418.86273422623964	264.2533083207018	551.0184614341123	Simulation_03	Scenario_A_indep	65793
CompNMFBase	8	1	1	0.0036454171437681642	35.688260209178544	0.35860824113381784	0.11583501600878988	0.12684316239005253	0.006304462750752767	5167	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
map_CopyOnly	8	1	1	0.00385825013573193	42.89780121331992	0.35860824113381784	0.11649451967474504	0.1274501350823961	4.702004226048787	489	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
map_NoCopies	8	1	1	0.0014895664102669212	21.482976544178857	0.02107940503993817	0.011235918652982334	0.05106674557261343	25.659416699409483	489	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
map_TrueCovs	8	1	1	0.0014977790588598856	17.75436162593621	0.01332574897300937	0.002686517519909581	0.049700574864706686	27.24555311203003	519	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
map_Full	8	1	1	0.0014792832923432877	17.740303303086375	0.015582856950318236	0.0028881997529097876	0.049678581418298194	12.488724625110626	199	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
mcmc_Full	8	1	1	0.0036664673005608072	20.566795731497976	0.01541396885468183	0.002892568538690466	0.049674115720069086	140.80493835608164	NA	47.03902053950691	401.18732793678004	419.54152910286956	1167.0441607932692	1277.618935024915	433.74401173266443	465.3799231583669	541.3621397201548	Simulation_04	Scenario_A_indep	77639
map_TrueCovs200	8	1	1	0.0015043602406357888	17.841312578269697	0.015761702505910212	0.011163398334090326	0.05091712497137381	13.56223478714625	259	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
mcmc_TrueCovs200	8	1	1	0.0036516562711735984	20.723570015299302	0.015101522446827694	0.011140243232996151	0.05092021404243563	126.69989351431528	NA	46.07929367139498	398.95976359354347	420.9898421193781	1039.2469106006424	1441.6124761840404	562.563316194094	348.6704410982763	595.6305789028229	Simulation_04	Scenario_A_indep	77639
map_TrueCovs500	8	1	1	0.0015110478502993335	17.819623259102432	0.015961009240929455	0.02041632065430835	0.054238354904472985	10.777216291427612	209	NA	NA	NA	NA	NA	NA	NA	NA	Simulation_04	Scenario_A_indep	77639
