region	ctcf	H3K9me3	H3K27ac	DNAse_seq	Methyl	Repli
1	0.050627794103901946	0.11763896307801071	0.052175543211671685	0.2060715534993932	0.2275720776469161	0.19870927942945263
2	-0.014250258123082197	0.10397488529102718	-0.038329224411180335	-0.06940483832358038	-0.08842674150297522	-0.135198674928754
3	0.010220151495519181	0.13052418342318853	-0.04859918258977944	-0.07934776106640178	-3.2751485220692877e-4	-0.12915657539283718
4	0.015537331645126395	0.12313196222135339	-0.014803768337150532	0.0436067801480945	0.16066890485690566	0.2243372236442616
5	0.05060740216728718	0.012783100739671937	-0.008571286854720358	-0.03505468485429493	-0.01139289151052895	-0.16531733544340863
6	-0.01656461633387231	0.06935023269855752	0.07564646272752681	-0.1527537328760624	-0.14605291409923696	-0.22409409535026584
7	-0.03443038537258677	0.05173241661573555	-0.08168174172920298	-0.11937790787072387	-0.009322303583401277	-0.10530380663791195
8	0.047775484379663384	0.05082420905387344	-0.007674253371600366	-0.03427375124533661	-0.04927723114578617	0.0180392146907909
9	0.04236520096830677	0.03938738002595219	0.042796936141886704	0.041332959689263225	-0.08667544417923441	-0.03235743851647869
10	-0.05481270299980269	-0.0107512361029182	-0.046613474407073384	-0.06676702943297638	0.014091261450345446	-0.0252210549344894
11	-0.011120057156877134	0.055620357727114204	0.014857804123979666	-0.06592749134350782	-0.06065978831971637	0.12839646866514615
12	-0.034803076715914434	0.005785279076849917	-0.02230754124424551	-0.0364806606202704	-0.08466826798486835	-0.09288481648016571
13	0.11056414444508392	0.030577780489475563	0.009808954855806925	0.03178507431688516	0.026692522811937014	0.14500390585521677
14	0.017816902679192868	0.4112659527246486	0.3427090083388874	0.336843114024575	0.4458858277690047	0.05827789081591723
15	0.00215481248510339	0.102683757968552	-0.04018320397368143	-0.05974636623628677	-0.033007876479017914	-0.011317639856632861
16	-0.004990938749963226	0.16847859202341306	-0.0347634577741231	-0.03644713273188942	-0.07237736518282635	-0.27098516416642504
17	-0.03746028047790038	0.05929797807917271	-0.01898467737451279	-0.0694552930237162	0.04875100157320739	0.27494299891905133
18	-0.0068806122693871275	0.07847792592088532	0.037145077127758254	0.029139540087609196	0.0037083054609937695	-0.26444566791444674
19	0.022156291964823858	0.07531818187130997	-8.12111101374978e-8	-0.0046316333379618916	0.008695022189934006	-0.035885313856181524
20	-0.045491380847013894	0.010941719330785294	-0.005771471300449459	-0.04423171441523527	-0.034020214436367276	-0.028899544804976595
21	-0.005792827012325167	0.06866564065915658	-0.030741435231648306	-0.04630970613052494	-0.06903970054716516	-0.032606919283472854
22	-0.058646590857550744	0.025411195864222382	-0.03173748974422596	-0.06374055147769712	-0.029763846784245637	-0.042669784163884714
23	-0.023488489411371712	0.027531879362580076	-0.0029210210526606855	-0.050734280242889535	-0.024520004603059097	0.0011554815236625474
24	0.024416801396566122	-3.506678989639637e-4	-0.03884492506782706	-0.02641392804257978	0.02365614363729783	-0.02898672026667583
25	0.029196526007796965	0.004904126316170464	0.022607513885239947	0.005949314615588968	0.003030920562284256	-0.0561469126692595
26	-0.02319314038499056	0.021877444125535234	-0.026053152127281393	-0.034131449671905324	-0.0066013947729478386	0.05964917745959136
27	0.01821117904206371	0.024134325309616463	-0.02470579568593642	-0.02826310424217396	-0.03582756927930246	-0.010453736035221038
28	-0.014680863268435157	0.06694468740365574	-0.04151917305988397	0.010548631316284595	-0.043950656695675425	-0.003514332050811517
29	0.013951063422395457	0.0319041107237291	-0.02389641945580753	-0.036560265163348475	-0.012573608341766124	0.05873985382796229
30	-0.025504555571696647	0.10096429602943437	-0.045085279491129095	-0.008173260106372952	0.08352555695261	0.2261450839748015
31	0.015658355121349683	0.04279859109596976	-0.0030920045411744965	-0.030119607983294893	0.011579237244314452	0.0016953559758742611
32	-0.02975581999768995	0.011627217039530595	-0.0019933615880361913	-0.04061926098758909	-0.037149405855585106	-0.0675328290489097
33	0.02740289186648931	0.0042174139097374	-0.035973589789609135	-0.032978564931731805	0.01606343755322884	3.461158390311449e-4
34	-0.012190312975881171	0.007365082371884998	0.029082726084994143	0.0024959074329960504	-0.017951683492267157	-0.021744821182610855
35	-0.015036132206331404	0.1649054856672013	0.06760359779669829	-0.0793916078330046	-0.10798781682774979	-0.06870023268789756
